ph,humidite,type
5.99816047538945,29.43565999069108,limoneux
8.302857225639665,23.763372822044214,sableux
7.42797576724562,15.833466570021471,limoneux
6.894633936788146,33.48282568974321,limoneux
5.124074561769746,28.965591039385775,argileux
5.123978081344811,10.691592877071194,argileux
4.732334448672798,36.88245145728449,limoneux
7.96470458309974,33.78880350231091,argileux
6.904460046972835,38.242996965217344,sableux
7.332290311184182,30.4001827935926,sableux
4.58233797718321,26.469531857752646,argileux
8.379639408647977,19.63850627017166,sableux
7.829770563201687,37.64549691739047,argileux
5.349356442713105,35.31223613251429,limoneux
5.2272998688284025,6.582653453716629,limoneux
5.233618039413735,5.9228441074038205,sableux
5.716968971838151,18.176217840731738,argileux
6.599025726528952,33.36936657736415,argileux
6.227780074568463,39.55466452602305,sableux
5.664916560792168,10.264591188623486,limoneux
6.947411578889518,25.79457503732473,sableux
5.057975442608168,18.331179982085754,limoneux
5.668578594140873,38.94700392351111,argileux
5.965447373174767,34.4741623097498,limoneux
6.324279936868144,34.341504664889825,sableux
7.640703845572054,21.40426059282396,argileux
5.2986951286334385,19.518682581818283,sableux
6.556937753654447,14.569247517574718,sableux
,6.973142382782449,limoneux
4.685801650879991,35.265283168926864,sableux
6.9301794076057535,33.45153531955272,limoneux
5.182096494749166,39.99011856501457,argileux
4.760206371941118,39.88228929758669,limoneux
8.295542149013333,24.44010969609196,argileux
8.362528132298237,31.914559531317867,limoneux
7.733589392465845,38.06680054588498,sableux
5.718455076693482,34.737658673709404,limoneux
,13.657183561011918,limoneux
7.236932106048627,20.76904473585327,argileux
6.260609974958405,9.520579530302324,sableux
4.988152939379115,38.39178595405528,limoneux
6.480707640445081,26.216112205780803,sableux
4.637554084460874,13.002498192621195,limoneux
8.137281608315128,28.509523954204987,limoneux
5.535119926400068,26.634488416026354,sableux
7.150089137415928,17.535695131149417,limoneux
5.746844304357644,8.974515726987015,sableux
6.580272084711243,28.505061845747985,limoneux
6.686841117373119,23.210769531632767,argileux
5.239417822102109,32.03114371074737,sableux
8.378338511058235,23.20572253891977,limoneux
7.600531293444458,34.826352511148905,limoneux
8.257995766256757,24.316739357106993,argileux
8.079309401710596,24.632829003738518,sableux
6.89159991524434,35.682876093042076,limoneux
8.187496940092467,19.121900317433898,argileux
,9.690532995772426,limoneux
5.283931449676581,6.007393670966864,sableux
4.680909155642152,,limoneux
5.801321323053058,26.710834297371264,limoneux
6.0547091587579285,29.642791883472825,limoneux
5.585396127095583,12.453745652811875,limoneux
7.814950036607717,9.773001645536942,argileux
5.927013306774358,5.509063298375867,argileux
5.623738038749523,17.270564558230895,sableux
6.670784332632994,25.64711903991216,argileux
5.063696899899051,18.72854157849063,argileux
7.708787923016159,20.31162227083052,sableux
4.798202574719083,36.645554307281195,argileux
8.44754774640207,17.188941345815515,argileux
7.58897907718663,22.989632120593377,sableux
5.29486272613669,32.42785544594001,sableux
4.52208846849441,18.878997381244456,sableux
7.761845713819337,,limoneux
7.3274293753904685,35.18272980613608,limoneux
7.416028672163949,38.23322182801748,sableux
7.5850813867437825,,sableux
4.796178606936362,37.43056688065231,sableux
5.933862914177091,22.224070257783836,limoneux
4.963476238100519,14.038553590463541,limoneux
7.9524137035023745,21.069751468339145,argileux
6.993192507310232,39.3011401349917,argileux
5.823592099410597,22.241633289750435,sableux
4.754233401144095,,limoneux
5.743929286862649,27.169029901085402,limoneux
5.800733288106988,13.405096657236758,limoneux
7.418424713352256,7.655216483803237,sableux
,9.510790266872723,argileux
8.048850970305306,9.481604363522035,sableux
6.388859700647798,10.316594272930303,argileux
4.978376983753207,9.858951042729355,argileux
,27.43061606811251,sableux
7.54314019446759,,argileux
6.745108790277985,17.09835491633521,argileux
7.583868719818244,36.387594346710415,limoneux
6.475182385457563,21.588657409200533,argileux
6.590931317527977,28.36452084823595,sableux
6.210164073434198,11.031195492057044,sableux
4.60167650697638,11.730115658303477,argileux
4.931565707973218,6.43040156932676,limoneux
4.625716742746937,10.912727207525759,limoneux
7.045641645055122,14.750661866118552,argileux
5.757423924305307,11.19536694968614,argileux
6.534282764658811,8.104588681496946,sableux
8.130265895704373,9.222255488521029,argileux
5.4971689165955,21.127256881145403,limoneux
6.141531692142519,12.221680144202738,argileux
7.522204554172195,17.749445136682642,sableux
5.41519266196649,22.619604479919992,sableux
4.8079196393151715,29.163819002027786,sableux
5.6590058116550725,6.375924894438462,sableux
5.144885149016018,32.97936396181649,sableux
8.218790609370291,26.97651363218177,argileux
7.732481518257668,7.861566118210517,argileux
7.033615026041694,35.575251843737206,argileux
,37.23053401861346,argileux
7.714688307596457,7.137728594920231,sableux
5.246280235544143,14.69071768515213,limoneux
8.070235993959912,33.21704479275715,argileux
6.657368967662602,31.189089163428044,limoneux
7.729760620656251,11.458235677473207,argileux
8.084365199693973,12.327226316784861,argileux
5.7720138998874555,17.96652359769837,limoneux
4.940207698110707,21.958304481685747,sableux
5.411740650167767,26.63891700356036,argileux
6.208431154505025,17.911977384942034,argileux
7.772059063689973,21.188715064660176,argileux
7.942922333025374,31.16148283468148,limoneux
4.527808522124763,6.283912101170927,sableux
6.542989210310263,13.835293052040726,limoneux
6.169644012595116,,limoneux
5.388431241882921,36.33223931905198,sableux
4.979461469334732,22.908710474048313,limoneux
,23.623971984286047,sableux
8.271638815650077,8.751020396892162,argileux
5.792811728083021,20.659432838820912,sableux
6.575162486973465,23.64160432592581,argileux
7.312075835580711,13.486467627215537,limoneux
,14.423513083228334,limoneux
8.387128330883844,18.204945708661793,argileux
8.349789179768445,5.702491922220423,limoneux
5.507129183301457,16.27277079541124,sableux
6.488994023569542,12.400680244879062,argileux
5.703513239267078,16.462407326227012,limoneux
5.6393619775098704,9.191674613673793,argileux
4.647547789418131,36.16845482589632,sableux
6.938257335919587,25.775735874391703,sableux
6.510716092915446,28.768581170057136,limoneux
4.705915004999957,32.62099335125684,sableux
5.614585856946446,22.445476962517006,argileux
8.133063543866616,8.042210083059828,sableux
5.458247562667889,23.79872896364917,argileux
5.079579488364892,25.53943913073077,argileux
6.4578110411102525,31.09038159645155,sableux
8.442601816442403,20.10808411803878,limoneux
5.468221086046002,9.46531059784473,sableux
7.188542189623514,14.932156702955357,argileux
7.54647846131487,17.70788037395223,argileux
5.450550175969599,27.607103446606043,sableux
7.412865394447438,24.977240663411916,limoneux
5.9711325308770125,17.46338540642462,limoneux
7.0292233223743175,39.52803370775429,argileux
7.034118843043579,26.20211867749105,argileux
6.643098736299034,13.302937710759807,limoneux
4.861159080217633,8.562386541714131,sableux
,10.35006987145162,argileux
5.783120259886943,13.608520493457785,argileux
,10.623848064084449,limoneux
4.663100566219056,11.529845841795701,sableux
6.863571772752968,14.978330904284649,limoneux
7.21025744736913,11.068075835316419,sableux
4.566351315711424,36.38678986192488,sableux
6.548372233197124,7.808181098157477,sableux
,23.357898634958914,argileux
7.0806911616378,19.363888944638155,limoneux
5.197465716019966,,limoneux
7.263750952409864,8.921361575881832,sableux
6.04694138520215,18.92494596660096,argileux
8.246919954946938,38.93146516463791,argileux
5.050083776583973,35.29274940628931,limoneux
5.864265404201034,33.59752248322479,argileux
4.953894084962356,,argileux
8.198774473114252,10.981065558652304,sableux
8.009357413523924,28.402512697355085,argileux
5.531766510860622,37.528159619465505,sableux
7.139936184136716,24.486701255487542,limoneux
7.768888800804863,25.006444131446493,argileux
6.72080324639785,14.799268278109945,limoneux
6.6186023134240255,31.93225266171779,limoneux
5.467409163601807,11.546531199513318,argileux
,16.328773274148528,argileux
8.088863031813307,19.890275351574587,limoneux
8.101672228653321,22.766363253955927,argileux
7.032405829093072,13.484340634527808,sableux
5.856119164194803,9.019288865872124,sableux
5.896838298450644,26.37170148545714,argileux
7.403822715480958,15.102069363408951,limoneux
8.08844103981031,25.34333774979143,argileux
8.04834569706047,10.40269503459708,argileux
7.6195021834304955,21.83990356491861,limoneux
7.068126584617151,23.640630139305504,limoneux
4.836559859980195,6.8138237887849415,sableux
5.146514856378455,16.78114973678722,limoneux
8.094216754108317,9.704513692864099,sableux
6.92571623863836,7.218123966546871,limoneux
4.536788206466518,39.64860813364808,argileux
4.905886171464129,16.282384574115305,sableux
7.154007076432223,33.34560560491222,sableux
4.520246335384875,13.912422916731735,sableux
5.143232205669994,28.852595277837523,argileux
6.694935157466345,31.60797509613903,argileux
7.267580790770773,25.84735592127455,argileux
7.107845038010402,21.505166599255542,argileux
5.39707723784224,19.4144319951544,argileux
7.348716885390143,17.210389329004833,sableux
5.4489963499872,,argileux
5.801598792637071,34.07167927257052,sableux
7.485965620472097,38.77594187332794,argileux
7.098531596188859,9.350402821994066,limoneux
7.896893641976712,30.58036163212755,sableux
7.130451569201373,37.841915988736325,limoneux
6.7732344133418865,11.343157315798106,sableux
4.87469907131237,7.327369357837212,limoneux
